Fiscal Year,Area,Subsidiary,Product,Reported Subsegment,Forecast Planning Level,1,2,3,4,5,6,7,8,9,10,11,12,,,,
FY19,WE,Austria,Identity & Direct Access,EPG Commercial,EA Subscription Recurring,43115.6844,,,,,,,6457.248,,,,3838.08,,,,
FY19,WE,Austria,IW CAL Suites - Core CAL,EPG Commercial,EA Subscription Recurring,174742.08,,,,,,,45426.4841,,,,74729.6284,,,,
FY19,WE,Austria,Lync Server & CAL,EPG Commercial,EA Subscription Recurring,,,,,,,1344,10323.056,,,,,,,,
FY19,WE,Austria,MDOP-Client,EPG Commercial,EA Subscription Recurring,7200.2486,,,,,,,760.5274,,,,2473.4955,,,,
FY19,WE,Austria,Office,EPG Commercial,EA Subscription Recurring,,,,,,,,30111.7202,,,,332287.065,,,,
FY19,WE,Austria,Office 365,EPG Commercial,EA Subscription Recurring,,,,,,,,933.12,,,,,,,,
FY19,WE,Austria,OSD Subs & Trans OSD SMSG,EPG Commercial,EA Subscription Recurring,216.0144,,,,,,,,,,,,,,,
FY19,WE,Austria,Other Server,EPG Commercial,EA Subscription Recurring,2085.7902,,,,,,,,,,,,,,,
FY19,WE,Austria,Project,EPG Commercial,EA Subscription Recurring,202862.1642,,,,,,,1679.104,,,,5086.8,,,,
FY19,WE,Austria,S&T CAL Suites - Core CAL,EPG Commercial,EA Subscription Recurring,98292.42,,,,,,,25549.202,,,,42017.0981,,,,
FY19,WE,Austria,SharePoint for Internet Sites,EPG Commercial,EA Subscription Recurring,16361.0004,,,,,,,,,,,,,,,
FY19,WE,Austria,SharePoint Server,EPG Commercial,EA Subscription Recurring,7559.52,,,,,,,949.6,,,,2684.88,,,,
FY19,WE,Austria,SQL Server Premium,EPG Commercial,EA Subscription Recurring,276554.074,,,,,,,11960.432,,,,57337.92,,,,
